Id, Applied to Schema, Applied on Date, Applied to Server, Was Executed, Succeeded, Report
patch.db-V5.0-upgrade-to-activiti-5.16.2, -1, 2023-01-23 13:18:26.226, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V5.0-upgrade-to-activiti-5.16.4, -1, 2023-01-23 13:18:26.247, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V5.0-remove-columns-after-upgrade-to-activiti-5.16.2, -1, 2023-01-23 13:18:26.248, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V5.0-update-activiti-default-timestamp-column, -1, 2023-01-23 13:18:26.249, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V5.0-activiti-correct-tenant-id-MSSQL, -1, 2023-01-23 13:18:26.25, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V5.1-upgrade-to-activiti-5.19.0, -1, 2023-01-23 13:18:26.252, UNKNOWN, f, t, Placeholder for Activiti bootstrap at schema -1
patch.db-V3.4-UsageTables, -1, 2023-01-23 13:18:33.861, UNKNOWN, t, t, Script completed
patch.db-V4.0-TenantTables, -1, 2023-01-23 13:18:33.863, UNKNOWN, t, t, Script completed
patch.db-V4.1-AuthorizationTables, -1, 2023-01-23 13:18:33.865, UNKNOWN, t, t, Script completed
patch.db-V5.0-ContentUrlEncryptionTables, -1, 2023-01-23 13:18:33.866, UNKNOWN, t, t, Script completed
patch.savedSearchesFolder, 17000, 2023-01-23 13:18:33.871, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updatePermissionData, 17000, 2023-01-23 13:18:33.873, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.guestUser, 17000, 2023-01-23 13:18:33.875, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.fixNodeSerializableValues, 17000, 2023-01-23 13:18:33.876, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.savedSearchesPermission, 17000, 2023-01-23 13:18:33.877, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.updateGuestPermission, 17000, 2023-01-23 13:18:33.879, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.guestPersonPermission, 17000, 2023-01-23 13:18:33.881, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.spacesRootPermission, 17000, 2023-01-23 13:18:33.882, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.categoryRootPermission, 17000, 2023-01-23 13:18:33.885, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.contentPermission, 17000, 2023-01-23 13:18:33.886, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.descriptorUpdate, 17000, 2023-01-23 13:18:33.888, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.forumsIcons, 17000, 2023-01-23 13:18:33.889, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.emailTemplatesFolder, 17000, 2023-01-23 13:18:33.89, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.emailTemplatesContent, 17000, 2023-01-23 13:18:33.892, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.scriptsFolder, 17000, 2023-01-23 13:18:33.893, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.topLevelGroupParentChildAssociationTypePatch, 17000, 2023-01-23 13:18:33.894, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.actionRuleDecouplingPatch, 17000, 2023-01-23 13:18:33.895, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
patch.systemWorkflowFolderPatch, 17000, 2023-01-23 13:18:33.896, 7.3.0 (ra2f0155d-b6233) - Enterprise, f, t, Not relevant to schema 17,000
