Content Model URI, Property
.empty, actionContext
http://www.acme.org/model/content/1.0, document
http://www.acme.org/model/content/1.0, documentId
http://www.acme.org/model/content/1.0, folder
http://www.acme.org/model/content/1.0, folderId
http://www.acme.org/model/content/1.0, securityClassification
http://www.acme.org/model/content/1.0, securityClassified
http://www.alfresco.org/model/action/1.0, action
http://www.alfresco.org/model/action/1.0, actioncondition
http://www.alfresco.org/model/action/1.0, actionDescription
http://www.alfresco.org/model/action/1.0, actionFolder
http://www.alfresco.org/model/action/1.0, actionparameter
http://www.alfresco.org/model/action/1.0, actions
http://www.alfresco.org/model/action/1.0, actionTitle
http://www.alfresco.org/model/action/1.0, compositeaction
http://www.alfresco.org/model/action/1.0, conditions
http://www.alfresco.org/model/action/1.0, definitionName
http://www.alfresco.org/model/action/1.0, executeAsynchronously
http://www.alfresco.org/model/action/1.0, executionActionStatus
http://www.alfresco.org/model/action/1.0, executionEndDate
http://www.alfresco.org/model/action/1.0, executionFailureMessage
http://www.alfresco.org/model/action/1.0, executionStartDate
http://www.alfresco.org/model/action/1.0, invert
http://www.alfresco.org/model/action/1.0, parameterName
http://www.alfresco.org/model/action/1.0, parameters
http://www.alfresco.org/model/action/1.0, parameterValue
http://www.alfresco.org/model/application/1.0, editInline
http://www.alfresco.org/model/application/1.0, icon
http://www.alfresco.org/model/application/1.0, inlineeditable
http://www.alfresco.org/model/application/1.0, uifacets
http://www.alfresco.org/model/bpm/1.0, isSystemPackage
http://www.alfresco.org/model/bpm/1.0, package
http://www.alfresco.org/model/bpm/1.0, workflowDefinitionId
http://www.alfresco.org/model/bpm/1.0, workflowDefinitionName
http://www.alfresco.org/model/bpm/1.0, workflowInstanceId
http://www.alfresco.org/model/bpm/1.0, workflowPackage
http://www.alfresco.org/model/content/1.0, addressee
http://www.alfresco.org/model/content/1.0, addressees
http://www.alfresco.org/model/content/1.0, attachable
http://www.alfresco.org/model/content/1.0, attachments
http://www.alfresco.org/model/content/1.0, auditable
http://www.alfresco.org/model/content/1.0, author
http://www.alfresco.org/model/content/1.0, authorityContainer
http://www.alfresco.org/model/content/1.0, authorityDisplayName
http://www.alfresco.org/model/content/1.0, authorityName
http://www.alfresco.org/model/content/1.0, autoVersion
http://www.alfresco.org/model/content/1.0, autoVersionOnUpdateProps
http://www.alfresco.org/model/content/1.0, avatar
http://www.alfresco.org/model/content/1.0, categories
http://www.alfresco.org/model/content/1.0, category
