
Table Name, Total Size, Row Estimate, Table Size, Index Size
alf_prop_serializable_value, 48, 33632, 47, 0 
alf_prop_link, 8, 37366, 3, 4 
alf_prop_value, 5, 34959, 2, 3 
alf_node_properties, 4, 4849, 1, 3 
alf_prop_root, 2, 38467, 2, 0 
alf_node, 2, 1813, 0, 1 
pg_depend, 1, 10105, 0, 0 
pg_proc, 1, 3202, 0, 0 
pg_attribute, 1, 4949, 0, 0 
alf_child_assoc, 1, 1197, 0, 0 
pg_statistic, 0, 542, 0, 0 
pg_rewrite, 0, 139, 0, 0 
pg_description, 0, 5080, 0, 0 
alf_node_aspects, 0, 2329, 0, 0 
alf_content_url, 0, 776, 0, 0 
alf_transaction, 0, 1167, 0, 0 
pg_class, 0, 804, 0, 0 
pg_collation, 0, 794, 0, 0 
pg_type, 0, 741, 0, 0 
pg_operator, 0, 804, 0, 0 
pg_amop, 0, 945, 0, 0 
pg_constraint, 0, 259, 0, 0 
alf_content_data, 0, 414, 0, 0 
alf_access_control_list, 0, 143, 0, 0 
pg_index, 0, 420, 0, 0 
alf_activity_feed, 0, 48, 0, 0 
act_ge_bytearray, 0, -1, 0, 0 
pg_trigger, 0, 304, 0, 0 
pg_amproc, 0, 697, 0, 0 
alf_prop_string_value, 0, 189, 0, 0 
alf_acl_member, 0, 304, 0, 0 
alf_applied_patch, 0, 224, 0, 0 
alf_prop_unique_ctx, 0, 38, 0, 0 
alf_node_assoc, 0, 25, 0, 0 
alf_audit_entry, 0, 90, 0, 0 
act_hi_detail, 0, -1, 0, 0 
alf_auth_status, 0, -1, 0, 0 
alf_activity_post, 0, 7, 0, 0 
alf_qname, 0, 231, 0, 0 
sql_features, 0, 713, 0, 0 
act_hi_actinst, 0, -1, 0, 0 
pg_conversion, 0, 128, 0, 0 
alf_lock, 0, 47, 0, 0 
alf_access_control_entry, 0, -1, 0, 0 
pg_ts_config_map, 0, 551, 0, 0 
pg_opclass, 0, 177, 0, 0 
pg_database, 0, 2, 0, 0 
act_hi_identitylink, 0, -1, 0, 0 
pg_authid, 0, 12, 0, 0 
act_hi_varinst, 0, -1, 0, 0 
act_hi_procinst, 0, -1, 0, 0 
pg_opfamily, 0, 146, 0, 0 
pg_language, 0, 4, 0, 0 
pg_cast, 0, 230, 0, 0 
pg_namespace, 0, 4, 0, 0 
pg_tablespace, 0, 2, 0, 0 
pg_shdepend, 0, 12, 0, 0 
pg_ts_dict, 0, 29, 0, 0 
pg_extension, 0, 1, 0, 0 
pg_init_privs, 0, 199, 0, 0 
pg_ts_parser, 0, 1, 0, 0 
alf_acl_change_set, 0, 47, 0, 0 
pg_ts_config, 0, 29, 0, 0 
pg_auth_members, 0, 3, 0, 0 
alf_audit_app, 0, -1, 0, 0 
pg_ts_template, 0, 5, 0, 0 
pg_aggregate, 0, 145, 0, 0 
pg_range, 0, 6, 0, 0 
pg_am, 0, 7, 0, 0 
pg_shdescription, 0, 1, 0, 0 
alf_prop_class, 0, -1, 0, 0 
alf_authority, 0, -1, 0, 0 
alf_audit_model, 0, -1, 0, 0 
act_ru_identitylink, 0, -1, 0, 0 
act_ru_execution, 0, -1, 0, 0 
alf_permission, 0, -1, 0, 0 
alf_store, 0, -1, 0, 0 
act_ru_variable, 0, -1, 0, 0 
sql_implementation_info, 0, 12, 0, 0 
act_re_procdef, 0, -1, 0, 0 
sql_sizing, 0, 23, 0, 0 
act_ru_task, 0, -1, 0, 0 
sql_parts, 0, 10, 0, 0 
pg_attrdef, 0, 0, 0, 0 
act_re_model, 0, -1, 0, 0 
alf_namespace, 0, -1, 0, 0 
alf_locale, 0, -1, 0, 0 
alf_lock_resource, 0, -1, 0, 0 
alf_mimetype, 0, -1, 0, 0 
alf_encoding, 0, -1, 0, 0 
act_ru_event_subscr, 0, -1, 0, 0 
act_procdef_info, 0, -1, 0, 0 
alf_authority_alias, 0, -1, 0, 0 
act_re_deployment, 0, -1, 0, 0 
alf_content_url_encryption, 0, -1, 0, 0 
pg_statistic_ext, 0, 0, 0, 0 
pg_policy, 0, 0, 0, 0 
pg_subscription, 0, 0, 0, 0 
pg_user_mapping, 0, 0, 0, 0 
act_hi_taskinst, 0, -1, 0, 0 
alf_activity_feed_control, 0, -1, 0, 0 
pg_foreign_server, 0, 0, 0, 0 
act_id_membership, 0, -1, 0, 0 
pg_sequence, 0, 0, 0, 0 
pg_foreign_data_wrapper, 0, 0, 0, 0 
act_ge_property, 0, -1, 0, 0 
pg_default_acl, 0, 0, 0, 0 
pg_enum, 0, 0, 0, 0 
pg_event_trigger, 0, 0, 0, 0 
act_ru_job, 0, -1, 0, 0 
pg_replication_origin, 0, 0, 0, 0 
act_id_user, 0, -1, 0, 0 
alf_prop_date_value, 0, -1, 0, 0 
alf_prop_double_value, 0, -1, 0, 0 
pg_publication_rel, 0, 0, 0, 0 
pg_publication, 0, 0, 0, 0 
pg_transform, 0, 0, 0, 0 
pg_partitioned_table, 0, 0, 0, 0 
pg_shseclabel, 0, 0, 0, 0 
