Node Type, Nodes Count
{http://www.alfresco.org/model/system/1.0}store_root, 1
{http://www.alfresco.org/model/system/1.0}container, 8
{http://www.alfresco.org/model/content/1.0}folder, 116
{http://www.alfresco.org/model/content/1.0}person, 13
{http://www.alfresco.org/model/content/1.0}category_root, 1
{http://www.alfresco.org/model/content/1.0}category, 335
{http://www.alfresco.org/model/content/1.0}mlRoot, 1
{http://www.alfresco.org/model/content/1.0}content, 266
{http://www.alfresco.org/model/content/1.0}systemfolder, 7
{http://www.alfresco.org/model/rule/1.0}rule, 5
{http://www.alfresco.org/model/action/1.0}compositeaction, 5
{http://www.alfresco.org/model/action/1.0}actioncondition, 5
{http://www.alfresco.org/model/action/1.0}actionparameter, 137
{http://www.alfresco.org/model/action/1.0}action, 13
{http://www.alfresco.org/model/site/1.0}sites, 1
{http://www.alfresco.org/model/content/1.0}authorityContainer, 25
{http://www.alfresco.org/model/content/1.0}zone, 4
{http://www.alfresco.org/model/transfer/1.0}transferGroup, 1
{http://www.alfresco.org/model/content/smartfolder/1.0}smartFolderTemplate, 1
{http://www.alfresco.org/model/site/1.0}site, 3
{http://www.alfresco.org/model/content/1.0}thumbnail, 69
{http://www.alfresco.org/model/system/1.0}deleted, 293
{http://www.alfresco.org/model/forum/1.0}forum, 1
{http://www.alfresco.org/model/forum/1.0}topic, 3
{http://www.alfresco.org/model/forum/1.0}post, 7
{http://www.alfresco.org/model/linksmodel/1.0}link, 2
{http://www.alfresco.org/model/datalist/1.0}dataList, 2
{http://www.alfresco.org/model/datalist/1.0}issue, 4
{http://www.alfresco.org/model/datalist/1.0}todoList, 5
{http://www.alfresco.org/model/solrfacet/1.0}facets, 1
{http://www.alfresco.org/model/bpm/1.0}package, 1
{http://www.tieto.com/model/documentRevisionContentModel/1.0}supportDocument, 3
