Ide, Lock Token, Start Time, Expiry Time, Shared Resource, Exclusive Resource, URI
21, not-locked, 0, 0, feedgenerator, feedgenerator, http://www.alfresco.org/model/system/1.0
13, not-locked, 0, 0, activitypostlookup, activitypostlookup, http://www.alfresco.org/model/system/1.0
28, not-locked, 0, 0, org.alfresco.repo.activities.post.cleanup.postcleaner, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
27, not-locked, 0, 0, org.alfresco.repo.activities.post.cleanup, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
26, not-locked, 0, 0, org.alfresco.repo.activities.post, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
25, not-locked, 0, 0, org.alfresco.repo.activities, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
24, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
23, not-locked, 0, 0, org.alfresco, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
22, not-locked, 0, 0, org, org.alfresco.repo.activities.post.cleanup.postcleaner, http://www.alfresco.org/model/system/1.0
20, not-locked, 0, 0, org.alfresco.repo.activities.feed.cleanup.feedcleaner, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
19, not-locked, 0, 0, org.alfresco.repo.activities.feed.cleanup, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
18, not-locked, 0, 0, org.alfresco.repo.activities.feed, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
17, not-locked, 0, 0, org.alfresco.repo.activities, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
16, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
15, not-locked, 0, 0, org.alfresco, org.alfresco.repo.activities.feed.cleanup.feedcleaner, http://www.alfresco.org/model/system/1.0
35, not-locked, 0, 0, authorizationsconsistencymonitor.check, authorizationsconsistencymonitor.check, http://www.alfresco.org/model/system/1.0
34, not-locked, 0, 0, authorizationsconsistencymonitor, authorizationsconsistencymonitor.check, http://www.alfresco.org/model/system/1.0
47, not-locked, 0, 0, acs.repository.usage.authorities, acs.repository.usage.authorities, http://www.alfresco.org/model/system/1.0
46, not-locked, 0, 0, acs.repository.usage, acs.repository.usage.authorities, http://www.alfresco.org/model/system/1.0
45, not-locked, 0, 0, acs.repository, acs.repository.usage.authorities, http://www.alfresco.org/model/system/1.0
44, not-locked, 0, 0, acs, acs.repository.usage.authorities, http://www.alfresco.org/model/system/1.0
12, not-locked, 0, 0, org.alfresco.repo.thumbnail.thumbnailregistry, org.alfresco.repo.thumbnail.thumbnailregistry, http://www.alfresco.org/model/system/1.0
11, not-locked, 0, 0, org.alfresco.repo.thumbnail, org.alfresco.repo.thumbnail.thumbnailregistry, http://www.alfresco.org/model/system/1.0
10, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.thumbnail.thumbnailregistry, http://www.alfresco.org/model/system/1.0
9, not-locked, 0, 0, org.alfresco, org.alfresco.repo.thumbnail.thumbnailregistry, http://www.alfresco.org/model/system/1.0
8, not-locked, 0, 0, org, org.alfresco.repo.thumbnail.thumbnailregistry, http://www.alfresco.org/model/system/1.0
7, not-locked, 0, 0, chaininguserregistrysynchronizer, chaininguserregistrysynchronizer, http://www.alfresco.org/model/system/1.0
6, not-locked, 0, 0, org.alfresco.repo.usage.userusagetrackingcomponent, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
5, not-locked, 0, 0, org.alfresco.repo.usage, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
4, not-locked, 0, 0, org.alfresco.repo, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
3, not-locked, 0, 0, org.alfresco, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
2, not-locked, 0, 0, org, org.alfresco.repo.usage.userusagetrackingcomponent, http://www.alfresco.org/model/system/1.0
32, not-locked, 0, 0, acs.repository.usage.sessions, acs.repository.usage.sessions, http://www.alfresco.org/model/system/1.0
31, not-locked, 0, 0, acs.repository.usage, acs.repository.usage.sessions, http://www.alfresco.org/model/system/1.0
43, not-locked, 0, 0, org.alfresco.enterprise.repo.queryaccelerator.querysetconfigserviceimpl, org.alfresco.enterprise.repo.queryaccelerator.querysetconfigserviceimpl, http://www.alfresco.org/model/system/1.0
