Database Tables Information
Table Name, Total Size, Row Estimate, Table Size, Index Size
alf_prop_serializable_value, 1.52, 687, 1.52, 0.00 
alf_node_properties, 1.77, 2712, 0.36, 1.41 
alf_node_properties, 1.75, 2744, 0.36, 1.39 
alf_node, 0.88, 862, 0.19, 0.69 
alf_node, 0.88, 860, 0.19, 0.69 
ACT_GE_BYTEARRAY, 0.20, 14, 0.19, 0.02 
ACT_GE_BYTEARRAY, 0.17, 13, 0.16, 0.02 
alf_child_assoc, 0.58, 900, 0.16, 0.42 
alf_child_assoc, 0.61, 891, 0.16, 0.45 
alf_node_aspects, 0.22, 1673, 0.09, 0.13 
alf_node_aspects, 0.22, 1692, 0.09, 0.13 
alf_prop_link, 0.27, 797, 0.08, 0.19 
alf_applied_patch, 0.08, 223, 0.08, 0.00 
alf_applied_patch, 0.08, 224, 0.08, 0.00 
alf_prop_serializable_value, 0.06, 20, 0.06, 0.00 
alf_content_url, 0.11, 254, 0.06, 0.05 
alf_content_url, 0.11, 241, 0.06, 0.05 
alf_prop_value, 0.16, 795, 0.06, 0.09 
alf_content_data, 0.11, 242, 0.05, 0.06 
alf_content_data, 0.11, 244, 0.05, 0.06 
alf_prop_root, 0.05, 797, 0.05, 0.00 
JBPM_NODE, 0.11, 0, 0.02, 0.09 
alf_access_control_entry, 0.08, 20, 0.02, 0.06 
ACT_HI_COMMENT, 0.02, 0, 0.02, 0.00 
alf_audit_app, 0.06, 2, 0.02, 0.05 
ACT_RE_MODEL, 0.06, 0, 0.02, 0.05 
alf_audit_entry, 0.08, 0, 0.02, 0.06 
ACT_EVT_LOG, 0.02, 0, 0.02, 0.00 
ACT_RE_PROCDEF, 0.03, 9, 0.02, 0.02 
alf_audit_model, 0.05, 3, 0.02, 0.03 
JBPM_MODULEINSTANCE, 0.05, 0, 0.02, 0.03 
JBPM_VARIABLEINSTANCE, 0.09, 0, 0.02, 0.08 
ACT_HI_ATTACHMENT, 0.02, 0, 0.02, 0.00 
alf_prop_string_value, 0.05, 26, 0.02, 0.03 
ACT_RE_DEPLOYMENT, 0.02, 9, 0.02, 0.00 
alf_audit_app, 0.06, 2, 0.02, 0.05 
alf_node_assoc, 0.08, 15, 0.02, 0.06 
alf_prop_double_value, 0.03, 0, 0.02, 0.02 
ACT_PROCDEF_INFO, 0.05, 0, 0.02, 0.03 
alf_usage_delta, 0.03, 0, 0.02, 0.02 
alf_prop_date_value, 0.03, 0, 0.02, 0.02 
JBPM_VARIABLEACCESS, 0.06, 0, 0.02, 0.05 
ACT_HI_ACTINST, 0.02, 0, 0.02, 0.00 
alf_activity_post, 0.05, 0, 0.02, 0.03 
alf_prop_class, 0.05, 5, 0.02, 0.03 
JBPM_TRANSITION, 0.06, 0, 0.02, 0.05 
ACT_GE_PROPERTY, 0.02, 3, 0.02, 0.00 
alf_activity_feed_control, 0.03, 0, 0.02, 0.02 
alf_prop_root, 0.02, 39, 0.02, 0.00 
ACT_ID_USER, 0.02, 0, 0.02, 0.00 
alf_transaction, 0.05, 20, 0.02, 0.03 
alf_activity_post, 0.05, 0, 0.02, 0.03 
alf_permission, 0.05, 12, 0.02, 0.03 
JBPM_TOKENVARIABLEMAP, 0.05, 0, 0.02, 0.03 
alf_activity_feed, 0.08, 0, 0.02, 0.06 
alf_prop_link, 0.06, 39, 0.02, 0.05 
ACT_ID_MEMBERSHIP, 0.03, 0, 0.02, 0.02 
alf_tenant, 0.02, 0, 0.02, 0.00 
alf_activity_feed_control, 0.03, 0, 0.02, 0.02 
alf_namespace, 0.03, 22, 0.02, 0.02 
alf_node_assoc, 0.08, 15, 0.02, 0.06 
JBPM_TOKEN, 0.08, 0, 0.02, 0.06 
ACT_EVT_LOG, 0.02, 0, 0.02, 0.00 
alf_acl_member, 0.06, 111, 0.02, 0.05 
JBPM_MODULEDEFINITION, 0.05, 0, 0.02, 0.03 
alf_prop_double_value, 0.03, 0, 0.02, 0.02 
ACT_ID_INFO, 0.02, 0, 0.02, 0.00 
alf_subscriptions, 0.03, 0, 0.02, 0.02 
alf_activity_feed, 0.08, 0, 0.02, 0.06 
alf_mimetype, 0.03, 14, 0.02, 0.02 
alf_usage_delta, 0.03, 0, 0.02, 0.02 
JBPM_TASKINSTANCE, 0.09, 0, 0.02, 0.08 
alf_acl_change_set, 0.03, 8, 0.02, 0.02 
JBPM_LOG, 0.22, 0, 0.02, 0.20 
alf_prop_date_value, 0.03, 0, 0.02, 0.02 
ACT_ID_GROUP, 0.02, 0, 0.02, 0.00 
alf_store, 0.05, 6, 0.02, 0.03 
